"HOUSEID","PERSONID","TRIPID","SEQ_TRIPID","VEHCASEID","FRSTHM","PARK","HHMEMDRV","TDWKND","TRAVDAY","LOOP_TRIP","DWELTIME","PUBTRANS","TRIPPURP","WHYFROM","WHYTRP1S","TRVLCMIN","STRTTIME","ENDTIME","TRPHHVEH","VEHID","TRPTRANS","NUMONTRP","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","NONHHCNT","HHACCCNT","WHODROVE","DRVR_FLG","PSGR_FLG","WHODROVE_IMP","PARK2_PAMOUNT","PARK2_PAYTYPE","PARK2","WHYTO","WALK","TRPMILES","WTTRDFIN","WTTRDFIN5D","WTTRDFIN2D","TDCASEID","VMT_MILE","GASPRICE","WHYTRP90","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","HHVEHCNT","LIF_CYC","MSACAT","MSASIZE","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","R_AGE","R_SEX","WORKER","DRIVER","R_RACE","R_HISP","PROXY","EDUC","PRMACT","R_SEX_IMP","VEHTYPE"
"9000013045","01","04","04","900001304501","01","02","01","02","02","02",30,"02","05","10","40",15,"1620","1635","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","01","01","02","01",-1,"-1","-1","13","06",2.13797389683033,1661018.5319,1319412.889782,0,"90000130450104",2.13797389683033,"355.1","03",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",35,"01","01","01","01","02","01","08","-1","01","01"
"9000013045","01","05","05","900001304501","01","02","01","02","02","02",-9,"02","02","13","01",15,"1705","1720","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","01","01","02","01",-1,"-1","-1","01","01",3.70602858918583,1661018.5319,1319412.889782,0,"90000130450105",3.70602858918583,"355.1","03",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",35,"01","01","01","01","02","01","08","-1","01","01"
"9000013045","02","01","01","900001304501","01","-1","01","02","02","02",150,"02","04","01","20",20,"1330","1350","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","01","02","01","01",-1,"-1","-1","06","08",6.07395898073337,1953518.6863,1665765.805808,0,"90000130450201",-1,"355.1","05",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",34,"02","01","02","01","02","02","08","-1","02","01"
"9000013045","02","02","02","900001304501","01","-1","01","02","02","02",30,"02","05","06","40",15,"1620","1635","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","01","02","01","01",-1,"-1","-1","13","06",2.13797389683033,1953518.6863,1665765.805808,0,"90000130450202",-1,"355.1","03",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",34,"02","01","02","01","02","02","08","-1","02","01"
"9000013045","02","03","03","900001304501","01","-1","01","02","02","02",-9,"02","02","13","01",15,"1705","1720","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","01","02","01","01",-1,"-1","-1","01","01",3.70602858918583,1953518.6863,1665765.805808,0,"90000130450203",-1,"355.1","05",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",34,"02","01","02","01","02","02","08","-1","02","01"
"9000013068","01","01","01","900001306801","01","02","01","01","01","02",330,"02","03","01","50",90,"1200","1330","01","01","03",5,"01","01","01","01","01","-1","-1","-1","-1","-1",0,"05","01","01","02","01",-1,"-1","-1","17","01",95.2088253573648,2636050.1508,0,1041517.99742639,"90000130680101",95.2088253573648,"350.2","08",2,"01","02","01","01","02",2,"12","10","01",5,2,"04","02","04","04","06","02","202202",1,"1022",41,"01","01","01","01","02","01","06","-1","01","03"
"9000013068","01","02","02","900001306801","01","02","01","01","01","02",-9,"02","03","17","01",90,"1900","2030","01","01","03",5,"01","01","01","01","01","-1","-1","-1","-1","-1",0,"05","01","01","02","01",-1,"-1","-1","01","01",94.2672467371038,2636050.1508,0,1041517.99742639,"90000130680102",94.2672467371038,"350.2","08",2,"01","02","01","01","02",2,"12","10","01",5,2,"04","02","04","04","06","02","202202",1,"1022",41,"01","01","01","01","02","01","06","-1","01","03"
"9000013068","02","01","01","900001306801","01","-1","01","01","01","02",330,"02","03","01","50",90,"1200","1330","01","01","03",5,"01","01","01","01","01","-1","-1","-1","-1","-1",0,"05","01","02","01","01",-1,"-1","-1","17","01",95.2088253573648,1919318.4679,0,718934.902718414,"90000130680201",-1,"350.2","08",2,"01","02","01","01","02",2,"12","10","01",5,2,"04","02","04","04","06","02","202202",1,"1022",40,"02","02","01","01","02","02","06","97","02","03"
"9000013068","02","02","02","900001306801","01","-1","01","01","01","02",-9,"02","03","17","01",90,"1900","2030","01","01","03",5,"01","01","01","01","01","-1","-1","-1","-1","-1",0,"05","01","02","01","01",-1,"-1","-1","01","01",94.2672467371038,1919318.4679,0,718934.902718414,"90000130680202",-1,"350.2","08",2,"01","02","01","01","02",2,"12","10","01",5,2,"04","02","04","04","06","02","202202",1,"1022",40,"02","02","01","01","02","02","06","97","02","03"
"9000013068","03","01","01","900001306801","01","-1","01","01","01","02",330,"02","03","01","50",90,"1200","1330","01","01","03",5,"01","01","01","01","01","-1","-1","-1","-1","-1",0,"05","01","02","01","01",-1,"-1","-1","17","01",95.2088253573648,3028127.9513,0,1458405.15368243,"90000130680301",-1,"350.2","08",2,"01","02","01","01","02",2,"12","10","01",5,2,"04","02","04","04","06","02","202202",1,"1022",6,"01","-1","-1","01","02","02","-1","-1","01","03"
